Fabio|Cutolo|f.cutolo@email.net|0691174743|12345789
Marcello|Santospirito|amail@italia.it|48432135|1213543
Maria Rosaria|Amodeo|due@mail.it|123456|54354
Piero|Malcontenti|tre@mail.it|5847384|47328
Angelo|Fausti|quattro@mail.it|574389|8789
Stefano|Beltrame|sara@email.com|123456|+39 3254597
Iacopo|Ortis|david@firenze.com|574389|857439
Alberto|Duccio|alberto@roma.it|4837|980767567
Gianmarco|Castelli|ing@trei.it|09168822345|09175489
Elena|De Amicis|elena@email.it|0721 405458||
Franco|Poveri|||
Giacinto|Filippo|||
Mario|Farina||+39069133835|
Giuseppe|Riccoli|giuseppe@email.it|+39 05 1234545|436782
Gabriella|Fattore||+39 06 9341171|
Mauro|Paliani|+390229047727|+393357844542|mp@email.com
Angelo|Come|069186-2992|3351357748|
