Ferruccio|Vitale|unixo@devzero.it|0691174743|12345789|Via Sagittario 17F|Pomezia|00040|Roma|Italia
-|-|-|-|-|Parco de Medici 61|Roma|00100|Roma|Italia
Annarita|Bellomo|unamail@italia.it|48432135|1213543|Via delle Azzorre 264|Roma|00100|Roma|Italia
Maria|Antonietta|due@mail.it|123456|54354|Via Degli Agrostemmi 30|Roma|00148|Roma|Italia
BI|Auto|tre@mail.it|5847384|47328|Via Laura Mantegazza, 22/24D|Roma|00152|Roma|Italia
Angelo|Brunella|quattro@mail.it|574389|8789|Via Gaverina, 79|Roma|00166|Roma|Italia
Sara|Meloni|sara@email.com|123456|+39 3254597|Piazza della Repubblica, 1|Roma|00185|Roma|Italia
David|Donatello|david@firenze.com|574389|857439|Corso D'Italia 41|Roma|00198|Roma|Italia
Alberto|Conte|ervalvola@romasud.it|4837|980767567|Via Matteo Bartoli 1|Roma|00100|Roma|Italia
Gianfranco|Vitale|ing@trei.it|09168822345|09175489|Piazza San Marino 2|Roma|00198|Roma|Italia
-|-|-|-|-|Via Mancini 2|Roma|00196|Roma|Italia
Roberto|D'Amore|-|lavoro@noncene.it|0721 405458||Via Tito Quinzio Penno, 14|Roma|00175|Roma|Italia
-|-|-|-|-|Via Morozzo della Rocca, 118|Roma|00159|Roma|Italia
Antonio|Francisci||||Via dei Banchi Vecchi, 61|Roma|00186|Roma|Italia
Francesco|Filippo||||Via Melpomene 22|Roma|00133|Roma|Italia
Saverio|Farina||+39069133835||Via Gran Bretagna, 25|Pomezia|00040|Roma|Italia
Gianmaria|Malatesta|malacapa@head.it|+39 05 1234545|436782|Via Salaria, 1317/M|Roma|00100|Roma|Italia
Agriturismo|Pellini||+39 06 9341171||Via Tor Paluzzi, 184|Cecchina|00100|Roma|Italia
Mauro|Paliani|+390229047727|+393357844542|mp@email.com|Via della Bufalotta, 292|Roma|00137|Roma|Italia
Roberta|Carlucci|069186-2992|3351357748||Via Margutta, 61|Roma|00187|Roma|Italia
